LAPTOP SALES INTELLIGENCE – INSAMLAD DATA
==========================================

Källa: https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops
Insamlad: 2026-09-18T11:56:57.157Z
Antal produkter: 117

VIKTIG INFORMATION
------------------
Webbsidan är en testsajt för scraping.
Resultatet används som teknisk försäljnings- och dataövning.
Antalet recensioner används som efterfrågesignal och är inte bevisad försäljning.

PRISANALYS
----------
Genomsnittspris: $909.39
Medianpris: $1102.66
Budgetprodukter under $500: 38
Mellansegment $500–$1000: 14
Premiumprodukter över $1000: 65

STÖRSTA VARUMÄRKENA I SORTIMENTET
---------------------------------
1. Acer: 25 produkter
2. Lenovo: 20 produkter
3. Dell: 20 produkter
4. Asus: 19 produkter
5. MSI: 7 produkter
6. ThinkPad: 5 produkter
7. Toshiba: 5 produkter
8. Hewlett: 3 produkter
9. Apple: 3 produkter
10. Prestigio: 2 produkter

PRODUKTER MED FLEST RECENSIONER
-------------------------------
1. Asus VivoBook X441NA-GA190 – 14 recensioner – $295.99
2. Acer Aspire ES1-732 Black – 14 recensioner – $410.46
3. Dell Vostro 15 – 14 recensioner – $488.78
4. Lenovo ThinkPad L460 – 14 recensioner – $1096.02
5. Dell Latitude 5480 – 14 recensioner – $1133.82
6. Acer Nitro 5 AN515-51 – 14 recensioner – $1140.62
7. Acer Predator Helios 300 (PH317-51) – 14 recensioner – $1187.98
8. Asus ZenBook UX530UX-FY040T Blue – 14 recensioner – $1239.20
9. HP 250 G3 – 13 recensioner – $520.99
10. ThinkPad Yoga – 13 recensioner – $1033.99

ALL INSAMLAD DATA
-----------------
Produkt	Varumärke	Pris USD	Prissegment	Betyg	Recensioner	Beskrivning	Produktlänk
Acer Aspire 3 A315-31 Black	Acer	408.98	Budget	4	10	Acer Aspire 3 A315-31 Black, 15.6" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/73
Lenovo V110-15ISK	Lenovo	409.63	Budget	3	9	Lenovo V110-15ISK, 15.6" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/74
Acer Aspire ES1-732 Black	Acer	410.46	Budget	4	14	Acer Aspire ES1-732 Black, 17.3" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/75
Asus VivoBook 15 X540NA-GQ026T	Asus	410.66	Budget	4	4	Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/76
Packard 255 G2	Packard	416.99	Budget	2	2	15.6", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1	https://webscraper.io/test-sites/e-commerce/allinone/product/31
Asus EeeBook R416NA-FA014T	Asus	433.30	Budget	1	1	Asus EeeBook R416NA-FA014T, 14" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/77
Acer Aspire 3 A315-51	Acer	436.29	Budget	1	1	Acer Aspire 3 A315-51, 15.6" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/78
Acer Aspire ES1-572 Black	Acer	436.29	Budget	1	2	Acer Aspire ES1-572 Black, 15.6" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/79
Acer Extensa 15 (2540) Black	Acer	439.73	Budget	4	6	Acer Extensa 15 (2540) Black, 15.6" HD, Core i5-7200U, 4GB, 500GB, Linux	https://webscraper.io/test-sites/e-commerce/allinone/product/80
Acer Aspire ES1-572 Black	Acer	454.62	Budget	1	9	Acer Aspire ES1-572 Black, 15.6" HD, Core i5-7200U, 4GB, 500GB, Linux	https://webscraper.io/test-sites/e-commerce/allinone/product/81
Lenovo V110-15ISK	Lenovo	454.73	Budget	2	2	Lenovo V110-15ISK, 15.6" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/82
Acer Aspire A315-51-33TG	Acer	457.38	Budget	3	9	Acer Aspire A315-51-33TG, Black 15.6" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG	https://webscraper.io/test-sites/e-commerce/allinone/product/83
Lenovo V110-15IKB	Lenovo	465.95	Budget	1	7	Lenovo V110-15IKB, 15.6" HD, Core i5-7200U, 4GB, 500GB, DOS	https://webscraper.io/test-sites/e-commerce/allinone/product/84
Asus VivoBook 15 X540UA-DM260 Chocolate Black	Asus	468.56	Budget	3	1	Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/85
Acer Aspire ES1-572 Black	Acer	469.10	Budget	3	5	Acer Aspire ES1-572 Black, 15.6" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/86
Lenovo V510 Black	Lenovo	484.23	Budget	3	8	Lenovo V510 Black, 14" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/87
Acer Aspire ES1-572 Black	Acer	485.90	Budget	3	6	Acer Aspire ES1-572 Black, 15.6" HD, Core i5-7200U, 4GB, 128GB SSD, Linux	https://webscraper.io/test-sites/e-commerce/allinone/product/88
Lenovo V510 Black	Lenovo	487.80	Budget	2	9	Lenovo V510 Black, 15.6" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/89
Acer Swift 1 SF113-31 Silver	Acer	488.64	Budget	3	4	Acer Swift 1 SF113-31 Silver, 13.3" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/90
Dell Vostro 15	Dell	488.78	Budget	4	14	Dell Vostro 15 (3568) Black, 15.6" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux	https://webscraper.io/test-sites/e-commerce/allinone/product/46
Acer Aspire 3 A315-51 Black	Acer	494.71	Budget	4	2	Acer Aspire 3 A315-51 Black, 15.6" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/91
Dell Vostro 15 (3568) Red	Dell	497.17	Budget	1	9	Dell Vostro 15 (3568) Red, 15.6" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux	https://webscraper.io/test-sites/e-commerce/allinone/product/92
Lenovo V510 Black	Lenovo	498.23	Budget	3	5	Lenovo V510 Black, 15.6" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/93
HP 250 G3	HP	520.99	Mellansegment	2	13	15.6", Core i5-4210U, 4GB, 500GB, Windows 8.1	https://webscraper.io/test-sites/e-commerce/allinone/product/42
Acer Spin 5	Acer	564.98	Mellansegment	2	0	Acer Spin 5 SP513-51 Black, 13.3" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/47
HP 350 G1	HP	577.99	Mellansegment	2	10	15.6", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows	https://webscraper.io/test-sites/e-commerce/allinone/product/44
Aspire E1-572G	Aspire	581.99	Mellansegment	1	2	15.6", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1	https://webscraper.io/test-sites/e-commerce/allinone/product/36
Pavilion	Pavilion	609.99	Mellansegment	1	4	15.6", Core i5-4200U, 6GB, 750GB, Windows 8.1	https://webscraper.io/test-sites/e-commerce/allinone/product/38
Acer Aspire A515-51-5654	Acer	679.00	Mellansegment	2	9	Acer Aspire A515-51-5654, Black, 15.6", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG	https://webscraper.io/test-sites/e-commerce/allinone/product/48
Dell Inspiron 15	Dell	679.00	Mellansegment	2	7	Dell Inspiron 15 (5567) Fog Gray, 15.6" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux	https://webscraper.io/test-sites/e-commerce/allinone/product/49
Asus VivoBook S14	Asus	729.00	Mellansegment	1	2	Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/50
ProBook	ProBook	739.99	Mellansegment	4	8	14", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit	https://webscraper.io/test-sites/e-commerce/allinone/product/34
Inspiron 15	Inspiron	745.99	Mellansegment	3	12	Moon Silver, 15.6", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,	https://webscraper.io/test-sites/e-commerce/allinone/product/39
Asus ROG STRIX GL553VD-DM256	Asus	799.00	Mellansegment	2	7	Asus ROG STRIX GL553VD-DM256, 15.6" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS	https://webscraper.io/test-sites/e-commerce/allinone/product/51
Acer Nitro 5 AN515-51	Acer	809.00	Mellansegment	1	0	Acer Nitro 5 AN515-51, 15.6" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/52
Asus ROG STRIX GL553VD-DM256	Asus	899.00	Mellansegment	1	7	Asus ROG STRIX GL553VD-DM256, 15.6" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/53
Lenovo ThinkPad L570	Lenovo	999.00	Mellansegment	3	11	Lenovo ThinkPad L570, 15.6" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/54
ThinkPad Yoga	ThinkPad	1033.99	Premium	2	13	12.5" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,	https://webscraper.io/test-sites/e-commerce/allinone/product/37
Lenovo ThinkPad L460	Lenovo	1096.02	Premium	4	14	Lenovo ThinkPad L460, 14" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/94
Dell Inspiron 15 (7567) Black	Dell	1098.42	Premium	1	7	Dell Inspiron 15 (7567) Black, 15.6" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/95
MSI GL72M 7RDX	MSI	1099.00	Premium	4	1	MSI GL72M 7RDX, 17.3" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/96
MSI GL72M 7RDX	MSI	1099.00	Premium	1	9	Asus ROG Strix GL553VD-DM535T, 15.6" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/97
Asus ROG Strix GL553VD-DM535T	Asus	1101.83	Premium	2	4	Apple MacBook Air 13.3", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS	https://webscraper.io/test-sites/e-commerce/allinone/product/98
Dell Latitude 5280	Dell	1102.66	Premium	1	8	Dell Latitude 5280, 12.5" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/99
Dell Latitude 5480	Dell	1110.14	Premium	3	4	Dell Latitude 5480, 14" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/100
Lenovo Legion Y520-15IKBM	Lenovo	1112.91	Premium	4	1	Lenovo Legion Y520-15IKBM, Black, 15.6" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/101
Toshiba Portege Z30-C-16J Grey	Toshiba	1114.55	Premium	1	0	Toshiba Portege Z30-C-16J Grey, 13.3" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/102
Acer Predator Helios 300 (PH317-51)	Acer	1123.87	Premium	2	1	Acer Predator Helios 300 (PH317-51), 17.3" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/103
Acer Aspire 7 A715-71G	Acer	1123.87	Premium	2	4	Acer Aspire 7 A715-71G, 15.6" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/104
Dell Inspiron 17 2in1 (7779) Silver	Dell	1124.20	Premium	3	10	Dell Inspiron 17 2in1 (7779) Silver, 17.3" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/105
Dell Latitude 5480	Dell	1133.82	Premium	4	14	Dell Latitude 5480, 14" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/106
Lenovo Legion Y520	Lenovo	1133.91	Premium	1	13	Lenovo Legion Y520, 15.6" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/107
Asus AsusPro Advanced BU401LA-FA271G Dark Grey	Asus	1139.54	Premium	3	7	Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG	https://webscraper.io/test-sites/e-commerce/allinone/product/108
Acer Nitro 5 AN515-51	Acer	1140.62	Premium	3	14	Acer Nitro 5 AN515-51, 15.6" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/109
Dell Latitude 5480	Dell	1143.40	Premium	4	5	Dell Latitude 5480, 14" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/110
Dell Inspiron 15 (7567) Black	Dell	1144.20	Premium	1	2	Dell Inspiron 15 (7567) Black, 15.6" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/111
Dell Latitude 5580	Dell	1144.40	Premium	3	10	Dell Latitude 5580, 15.6" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/112
Lenovo Legion Y520-15IKBM	Lenovo	1149.00	Premium	3	11	Lenovo Legion Y520-15IKBM, 15.6" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS	https://webscraper.io/test-sites/e-commerce/allinone/product/55
MSI GP62M 7RDX Leopard	MSI	1149.00	Premium	1	11	MSI GP62M 7RDX Leopard, 15.6" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/113
Lenovo Yoga 720 Grey	Lenovo	1149.73	Premium	2	12	Lenovo Yoga 720 Grey, 15.6" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/114
Toshiba Portege Z30-C-16L Grey	Toshiba	1154.04	Premium	1	7	Toshiba Portege Z30-C-16L Grey, 13.3" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/115
Acer TravelMate P645-S-511A Black	Acer	1170.10	Premium	1	0	Acer TravelMate P645-S-511A Black, 14" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/116
Dell Latitude 5580	Dell	1178.19	Premium	3	6	Dell Latitude 5580, 15.6" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/117
ThinkPad T540p	ThinkPad	1178.99	Premium	1	2	15.6", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit	https://webscraper.io/test-sites/e-commerce/allinone/product/33
MSI GS63 7RD Stealth	MSI	1179.00	Premium	1	2	MSI GS63 7RD Stealth, 15.6" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/118
Dell Latitude 5480	Dell	1187.88	Premium	3	5	Dell Latitude 5480, 14" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/119
Acer Predator Helios 300 (PH317-51)	Acer	1187.98	Premium	3	14	Acer Predator Helios 300 (PH317-51), 17.3" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/120
MSI GL62M 7REX	MSI	1199.00	Premium	1	7	MSI GL62M 7REX, 15.6" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/121
MSI GL62M 7REX2	MSI	1199.00	Premium	2	12	MSI GL62M 7REX2, 15.6" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/122
Lenovo Yoga 910 Grey	Lenovo	1199.73	Premium	3	7	Lenovo Yoga 910 Grey, 13.9" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/123
Toshiba Portege X30-D-10J Black/Blue	Toshiba	1203.41	Premium	4	13	Toshiba Portege X30-D-10J Black/Blue, 13.3" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/124
Lenovo IdeaPad Miix 510 Platinum Silver	Lenovo	1212.16	Premium	4	0	Lenovo IdeaPad Miix 510 Platinum Silver, 12.2" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/125
Acer Predator Helios 300 (PH317-51)	Acer	1221.58	Premium	1	9	Acer Predator Helios 300 (PH317-51), 17.3" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/126
ThinkPad Yoga	ThinkPad	1223.99	Premium	3	2	12.5" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows	https://webscraper.io/test-sites/e-commerce/allinone/product/43
Asus VivoBook Pro 15 N580VN-FI006T Gold Metal	Asus	1235.49	Premium	2	10	Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/127
Dell Latitude 5480	Dell	1238.37	Premium	2	0	Dell Latitude 5480, 14" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux	https://webscraper.io/test-sites/e-commerce/allinone/product/128
Asus ZenBook UX530UX-FY040T Blue	Asus	1239.20	Premium	1	14	Asus ZenBook UX530UX-FY040T Blue, 15.6" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/129
ThinkPad X230	ThinkPad	1244.99	Premium	3	10	12.5", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit	https://webscraper.io/test-sites/e-commerce/allinone/product/41
Asus ROG Strix GL753VE-GC096T	Asus	1259.00	Premium	4	7	Asus ROG Strix GL753VE-GC096T, 17.3" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd	https://webscraper.io/test-sites/e-commerce/allinone/product/130
Apple MacBook Air 13"	Apple	1260.13	Premium	4	8	Apple MacBook Air 13", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG	https://webscraper.io/test-sites/e-commerce/allinone/product/131
Dell Latitude 5480	Dell	1271.06	Premium	1	13	Dell Latitude 5480, 14" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/132
Hewlett Packard Spectre 13-v106na Dark Ash Silver	Hewlett	1273.11	Premium	3	8	Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home	https://webscraper.io/test-sites/e-commerce/allinone/product/133
Dell XPS 13	Dell	1281.99	Premium	3	4	13.3" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1	https://webscraper.io/test-sites/e-commerce/allinone/product/40
Toshiba Portege Z30-C-16K Grey	Toshiba	1294.74	Premium	1	6	Toshiba Portege Z30-C-16K Grey, 13.3" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro	https://webscraper.io/test-sites/e-commerce/allinone/product/134
